name,friendly_name,age,distillery,country,region_in_country,latitude,longitude,rating_aroma,rating_taste,rating_finish,rating_overall,colour,type,url
Westward American Single Malt,Westward,,House Spirits,USA,Oregon,45.5189855,-122.6675335,7,8,7,7,dark amber,single malt,http://whiskeynerds.com/westward-american-single-malt/
The Chita - Suntory Whisky,Chita,,Chita,Japan,,23.2178598,83.7032353,7,7,6,7,light gold,single grain,http://whiskeynerds.com/the-chita-suntory-whisky/
Applewood Baby Malt,Applewood,,Applewood,Australia,South Australia,-34.8284899,138.8836056,5,6,5,5,light amber,malt,http://whiskeynerds.com/aplewood-colonial-malt-and-baby-malt-double-feature/
Colonial Malt (Moonshine),Colonial,,Applewood,Australia,South Australia,-33.8284899,139.8836056,3,5,5,4,clear,malt,http://whiskeynerds.com/aplewood-colonial-malt-and-baby-malt-double-feature/
Dalwhinnie 15 Year Old,Dalwhinnie,15,Dalwhinnie,Scotland,Highland,56.939995,-4.2413287,8,8,8,8,light gold,single malt,http://whiskeynerds.com/dalwhinnie-15-year-old/
Kilchoman Sanaig,Kilchoman,,Kilchoman,Scotland,Islay,55.78688,-6.4327017,7,8,7,7,dark gold,single malt,http://whiskeynerds.com/kilchoman-sanaig/
Old Pulteney 12 Year Old,Old Pulteney,12,Pulteney,Scotland,Highland,58.4350081,-3.0869384,7,7,7,7,light gold,single malt,http://whiskeynerds.com/old-pulteney-12-years/
Jameson 18 Limited Reserve,Jameson,18,Jameson,Ireland,Dublin,53.3483761,-6.2795431,7,7,7,7,light gold,blend,http://whiskeynerds.com/jameson-18-limited-reserve/
Hellyers Road Distillery - Pinot Noir Finish,Hellyers,,Hellyers Road,Australia,Tasmania,-41.0888208,145.9070769,7,5,6,6,dark gold,single malt,http://whiskeynerds.com/hellyers-road-distillery-pinot-noir-finish/
Glen Parker Single Malt,Glen Parker,,Glen Parker,Scotland,Speyside,57.3701808,-3.8450754,6,6,6,6,light gold,single malt,http://whiskeynerds.com/glen-parker-single-malt/
Highland Black,Highland,,Aldi,Scotland,Highland,51.4622246,7.0675806,4,6,5,5,light amber,blend,http://whiskeynerds.com/highland-black/
Glenmorangie Tùsail Private Edition (2015),Glenmorangie,,Glenmorangie,Scotland,Highland,57.8258519,-4.0801371,7,7,7,7,light gold,single malt,http://whiskeynerds.com/glenmorangie-tusail-private-edition-2015/
Michel Couvreur Overaged Malt Whisky,Michel Couvreur,,Michel Couvreur,France,Burgundy,50.7557215,3.1001377,7,7,8,7,dark amber,blend,http://whiskeynerds.com/michel-couvreur-overaged-malt-whisky/
Lagavulin 16 Year Old,Lagavulin,16,Lagavulin,Scotland,Islay,55.635515,-6.1283937,8,7,8,8,dark gold,single malt,http://whiskeynerds.com/lagavulin-16-year-old/
Hybrid Whisk(e)y,Hybrid,,Twenty Third Street,Australia,South Australia,-34.1844544,140.7279844,8,8,6,7,light gold,blend,http://whiskeynerds.com/hybrid-whisk-e-y/
Hakushu - 12 Year Old,Hakushu,12,Hakushu,Japan,Hokuto,35.8264763,138.3003434,8,8,8,8,light gold,single malt,http://whiskeynerds.com/hakushu-12-years/
Jura Elixir - 12 Year Old,Jura Elixir,12,Jura,Scotland,Isle of Jura,55.8329076,-5.9530208,5,6,6,6,dark amber,single malt,http://whiskeynerds.com/jura-elixir-12-year-old/
Auchentoshan Springwood,Auchentoshan,,Auchentoshan,Scotland,Lowland,55.9229427,-4.4402652,7,7,6,7,dark gold,single malt,http://whiskeynerds.com/auchentoshan-springwood/
Amrut Cask Strength,Amrut,,Amrut,India,Bangalore,12.889104,77.4499433,7,7,7,7,dark amber,single malt,http://whiskeynerds.com/amrut-cask-strength/
